gene,gene_name,chromosome,description,entrez_id,LPS_vs_PBS_IP.l2fc,LPS_vs_PBS_IP.padj,IP_LPS_avg_fpkm,IP_PBS_avg_fpkm
ENSMUSG00000062647,Rpl7a,2,ribosomal protein L7A [Source:MGI Symbol;Acc:MGI:1353472],27176,1.190599731,7.50E-14,146.2049411,65.49065817
ENSMUSG00000018362,Kpna2,11,karyopherin (importin) alpha 2 [Source:MGI Symbol;Acc:MGI:103561],16647,1.189952257,1.49E-05,5.866559282,2.540306965
ENSMUSG00000073555,Gm4951,18,predicted gene 4951 [Source:MGI Symbol;Acc:MGI:3644953],240327,1.187104235,5.62E-05,10.06049738,4.044098958
ENSMUSG00000056737,Capg,6,"capping protein (actin filament), gelsolin-like [Source:MGI Symbol;Acc:MGI:1098259]",12332,1.181944412,3.28E-08,33.12404566,14.48181541
ENSMUSG00000044562,Rasip1,7,Ras interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917153],69903,1.179358174,1.50E-12,147.8995844,65.65023128
ENSMUSG00000028525,Pde4b,4,"phosphodiesterase 4B, cAMP specific [Source:MGI Symbol;Acc:MGI:99557]",18578,1.177959026,6.08E-09,34.43528821,14.26123538
ENSMUSG00000025888,Casp1,9,caspase 1 [Source:MGI Symbol;Acc:MGI:96544],12362,1.176880417,0.008528366,1.194733138,0.454953647
ENSMUSG00000024235,Map3k8,18,mitogen-activated protein kinase kinase kinase 8 [Source:MGI Symbol;Acc:MGI:1346878],26410,1.175942371,2.39E-11,16.74086474,7.433262781
ENSMUSG00000025509,Pnpla2,7,patatin-like phospholipase domain containing 2 [Source:MGI Symbol;Acc:MGI:1914103],66853,1.174798718,7.11E-08,68.75953145,28.11037993
ENSMUSG00000027360,Hdc,2,histidine decarboxylase [Source:MGI Symbol;Acc:MGI:96062],15186,1.169209951,0.033615903,1.893261491,0.052325925
ENSMUSG00000067925,Rtl8a,X,retrotransposon Gag like 8A [Source:MGI Symbol;Acc:MGI:1913408],66158,1.1691017,1.22E-04,10.26641719,4.418597354
ENSMUSG00000020706,Ftsj3,11,FtsJ RNA methyltransferase homolog 3 (E. coli) [Source:MGI Symbol;Acc:MGI:1860295],56095,1.168065723,1.98E-12,14.71363481,6.723664564
ENSMUSG00000059070,Rpl18,7,ribosomal protein L18 [Source:MGI Symbol;Acc:MGI:98003],19899,1.167547195,4.47E-11,15.65933887,7.127679508
ENSMUSG00000082536,Gm13456,2,predicted gene 13456 [Source:MGI Symbol;Acc:MGI:3651389],,1.166248167,0.010394411,1.925036144,0.736136719
ENSMUSG00000027200,Sema6d,2,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D [Source:MGI Symbol;Acc:MGI:2387661]",214968,1.165843294,2.20E-12,23.92478849,10.88029639
ENSMUSG00000056749,Nfil3,13,"nuclear factor, interleukin 3, regulated [Source:MGI Symbol;Acc:MGI:109495]",18030,1.165601454,0.002663042,4.973260185,1.961369935
ENSMUSG00000004446,Bid,6,BH3 interacting domain death agonist [Source:MGI Symbol;Acc:MGI:108093],12122,1.165260924,1.40E-04,3.884315607,1.6755584
ENSMUSG00000004040,Stat3,11,signal transducer and activator of transcription 3 [Source:MGI Symbol;Acc:MGI:103038],20848,1.160578744,3.19E-11,76.57783454,34.10401408
ENSMUSG00000032028,Nxpe2,9,"neurexophilin and PC-esterase domain family, member 2 [Source:MGI Symbol;Acc:MGI:1925502]",78252,1.160421604,1.21E-04,6.710225805,2.719167863
ENSMUSG00000021109,Hif1a,12,"hypoxia inducible factor 1, alpha subunit [Source:MGI Symbol;Acc:MGI:106918]",15251,1.159830982,1.66E-17,100.0379778,46.09189183
ENSMUSG00000028540,Dph2,4,DPH2 homolog [Source:MGI Symbol;Acc:MGI:1914978],67728,1.159808153,0.001037055,2.655648893,1.125534918
ENSMUSG00000040740,Slc25a34,4,"solute carrier family 25, member 34 [Source:MGI Symbol;Acc:MGI:2686215]",384071,1.158125075,0.023994149,1.306764893,0.438502502
ENSMUSG00000031799,Tpm4,8,tropomyosin 4 [Source:MGI Symbol;Acc:MGI:2449202],326618,1.157765099,4.18E-16,307.835655,141.9028962
ENSMUSG00000021477,Ctsl,13,cathepsin L [Source:MGI Symbol;Acc:MGI:88564],13039,1.157399939,3.39E-11,53.65682798,23.69849369
ENSMUSG00000031994,Adamts8,9,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8 [Source:MGI Symbol;Acc:MGI:1353468]",30806,1.155670688,0.007866012,1.50023995,0.592115351
ENSMUSG00000036752,Tubb4b,2,"tubulin, beta 4B class IVB [Source:MGI Symbol;Acc:MGI:1915472]",227613,1.153435802,2.50E-11,172.9888475,79.06025865
ENSMUSG00000057841,Rpl32,6,ribosomal protein L32 [Source:MGI Symbol;Acc:MGI:98038],19951,1.15325746,2.96E-11,66.24696299,30.42872377
ENSMUSG00000030681,Mvp,7,major vault protein [Source:MGI Symbol;Acc:MGI:1925638],78388,1.152809649,1.28E-11,33.26903621,15.13068153
ENSMUSG00000023341,Mx2,16,MX dynamin-like GTPase 2 [Source:MGI Symbol;Acc:MGI:97244],17858,1.148914897,0.009244731,2.336831551,0.911458894
ENSMUSG00000022678,Nde1,16,nudE neurodevelopment protein 1 [Source:MGI Symbol;Acc:MGI:1914453],67203,1.145854124,1.70E-12,36.17948497,16.7907036
ENSMUSG00000030587,2200002D01Rik,7,RIKEN cDNA 2200002D01 gene [Source:MGI Symbol;Acc:MGI:1919525],72275,1.145368548,0.007572966,3.602117542,1.370322374
ENSMUSG00000021904,Sema3g,14,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G [Source:MGI Symbol;Acc:MGI:3041242]",218877,1.144981393,3.16E-13,58.10239818,27.0938055
ENSMUSG00000035692,Isg15,4,ISG15 ubiquitin-like modifier [Source:MGI Symbol;Acc:MGI:1855694],100038882,1.14219541,1.75E-08,31.74551134,14.58186222
ENSMUSG00000024833,Pola2,19,"polymerase (DNA directed), alpha 2 [Source:MGI Symbol;Acc:MGI:99690]",18969,1.141768703,5.31E-06,6.9720003,3.115384205
ENSMUSG00000005057,Sh2b2,5,SH2B adaptor protein 2 [Source:MGI Symbol;Acc:MGI:1345171],23921,1.139234593,1.84E-04,2.642512511,1.167706884
ENSMUSG00000046718,Bst2,8,bone marrow stromal cell antigen 2 [Source:MGI Symbol;Acc:MGI:1916800],69550,1.139223726,5.56E-09,34.7193639,16.00829657
ENSMUSG00000031465,Angpt2,8,angiopoietin 2 [Source:MGI Symbol;Acc:MGI:1202890],11601,1.138814266,0.001865047,36.87971106,14.62205158
ENSMUSG00000024965,Fermt3,19,fermitin family member 3 [Source:MGI Symbol;Acc:MGI:2147790],108101,1.138540498,0.00311877,3.510191348,1.397404926
ENSMUSG00000071005,Ccl19,4,chemokine (C-C motif) ligand 19 [Source:MGI Symbol;Acc:MGI:1346316],24047,1.134091913,0.015999048,4.400459613,1.632528344
ENSMUSG00000078597,Cyp4a12b,4,"cytochrome P450, family 4, subfamily a, polypeptide 12B [Source:MGI Symbol;Acc:MGI:3611747]",13118,1.132591169,0.002296644,2.716435761,1.178117459
ENSMUSG00000024561,Mbd1,18,methyl-CpG binding domain protein 1 [Source:MGI Symbol;Acc:MGI:1333811],17190,1.128757529,1.19E-08,37.71241953,16.87548666
ENSMUSG00000086591,Dnah2os,11,"dynein, axonemal, heavy chain 2, opposite strand [Source:MGI Symbol;Acc:MGI:1924973]",,1.128637258,2.12E-04,9.261699099,4.153087444
ENSMUSG00000028108,Ecm1,3,extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:103060],13601,1.125520018,5.11E-10,58.83330498,27.07340405
ENSMUSG00000041827,Oasl1,5,2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849],231655,1.125108959,0.001978556,5.717112872,2.366120187
ENSMUSG00000035621,Midn,10,midnolin [Source:MGI Symbol;Acc:MGI:1890222],59090,1.124375817,1.42E-14,38.7155255,18.22321583
ENSMUSG00000060487,Samd5,10,sterile alpha motif domain containing 5 [Source:MGI Symbol;Acc:MGI:2444815],320825,1.123735406,1.47E-10,17.49764217,7.972641347
ENSMUSG00000030111,A2m,6,alpha-2-macroglobulin [Source:MGI Symbol;Acc:MGI:2449119],232345,1.123616996,0.014839338,10.55635041,4.193746169
ENSMUSG00000039316,Rftn1,17,raftlin lipid raft linker 1 [Source:MGI Symbol;Acc:MGI:1923688],76438,1.122856453,7.83E-07,6.572177183,2.954032704
ENSMUSG00000024486,Hbegf,18,heparin-binding EGF-like growth factor [Source:MGI Symbol;Acc:MGI:96070],15200,1.122390667,3.04E-07,20.00590624,8.772553097
ENSMUSG00000044533,Rps2,17,ribosomal protein S2 [Source:MGI Symbol;Acc:MGI:105110],16898,1.12177378,2.48E-10,84.40808742,39.50505777
ENSMUSG00000018932,Map2k3,11,mitogen-activated protein kinase kinase 3 [Source:MGI Symbol;Acc:MGI:1346868],26397,1.120728065,6.28E-09,23.2222495,10.50208512
ENSMUSG00000038393,Txnip,3,thioredoxin interacting protein [Source:MGI Symbol;Acc:MGI:1889549],56338,1.120546426,0.008871056,374.5891551,144.4030872
ENSMUSG00000045932,Ifit2,19,interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:99449],15958,1.120161642,0.002674228,40.26762083,16.24965016
ENSMUSG00000021614,Vcan,13,versican [Source:MGI Symbol;Acc:MGI:102889],13003,1.118698238,1.44E-06,3.863614329,1.788387835
ENSMUSG00000034327,Kctd9,14,potassium channel tetramerisation domain containing 9 [Source:MGI Symbol;Acc:MGI:2145579],105440,1.11829067,7.99E-11,16.96559586,7.945470133
ENSMUSG00000039886,Tmem120a,5,transmembrane protein 120A [Source:MGI Symbol;Acc:MGI:2686991],215210,1.114153937,1.29E-07,11.93018926,5.449094437
ENSMUSG00000021411,Pxdc1,13,PX domain containing 1 [Source:MGI Symbol;Acc:MGI:1914145],66895,1.113397456,3.40E-05,8.961588503,3.948563841
ENSMUSG00000022111,Uchl3,14,ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase) [Source:MGI Symbol;Acc:MGI:1355274],50933,1.112992994,4.44E-04,3.8499764,1.722997826
ENSMUSG00000025647,Shisa5,9,shisa family member 5 [Source:MGI Symbol;Acc:MGI:1915044],66940,1.11086133,2.81E-12,74.46663572,35.19983565
ENSMUSG00000024066,Xdh,17,xanthine dehydrogenase [Source:MGI Symbol;Acc:MGI:98973],22436,1.109008758,0.001169999,79.26921581,33.3973848
ENSMUSG00000010067,Rassf1,9,Ras association (RalGDS/AF-6) domain family member 1 [Source:MGI Symbol;Acc:MGI:1928386],56289,1.108740081,7.21E-09,23.31282015,10.83024325
ENSMUSG00000020893,Per1,11,period circadian clock 1 [Source:MGI Symbol;Acc:MGI:1098283],18626,1.107442538,2.55E-06,24.59420309,11.33665344
ENSMUSG00000041789,2700046A07Rik,18,RIKEN cDNA 2700046A07 gene [Source:MGI Symbol;Acc:MGI:1919803],78449,1.106328743,0.006864127,2.480056089,1.058959927
ENSMUSG00000060477,Irak2,6,interleukin-1 receptor-associated kinase 2 [Source:MGI Symbol;Acc:MGI:2429603],108960,1.104253774,3.18E-06,20.06515958,8.953368212
ENSMUSG00000028318,Polr1e,4,polymerase (RNA) I polypeptide E [Source:MGI Symbol;Acc:MGI:1929022],64424,1.103641328,2.75E-04,3.427298328,1.55283589
ENSMUSG00000029561,Oasl2,5,2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390],23962,1.102012237,6.80E-11,60.86919838,29.21142221
ENSMUSG00000025044,Msr1,8,macrophage scavenger receptor 1 [Source:MGI Symbol;Acc:MGI:98257],20288,1.097309877,0.046100099,1.564093177,0.044274946
ENSMUSG00000060703,Cd302,2,CD302 antigen [Source:MGI Symbol;Acc:MGI:1913455],66205,1.096375674,2.31E-07,31.53674533,14.16011282
ENSMUSG00000020108,Ddit4,10,DNA-damage-inducible transcript 4 [Source:MGI Symbol;Acc:MGI:1921997],74747,1.095997476,1.75E-10,50.82659427,23.66376492
ENSMUSG00000038296,Galnt18,7,polypeptide N-acetylgalactosaminyltransferase 18 [Source:MGI Symbol;Acc:MGI:2446239],233733,1.095883614,1.42E-09,20.91081891,9.964570594
ENSMUSG00000043421,Hilpda,6,hypoxia inducible lipid droplet associated [Source:MGI Symbol;Acc:MGI:1916823],69573,1.095517918,0.003601403,7.05957454,3.01987377
ENSMUSG00000035828,Pim3,15,proviral integration site 3 [Source:MGI Symbol;Acc:MGI:1355297],223775,1.095491242,6.50E-08,39.28772293,17.93863969
ENSMUSG00000020038,Cry1,10,cryptochrome 1 (photolyase-like) [Source:MGI Symbol;Acc:MGI:1270841],12952,1.095060426,2.08E-07,10.05591348,4.710620846
ENSMUSG00000027375,Mal,2,"myelin and lymphocyte protein, T cell differentiation protein [Source:MGI Symbol;Acc:MGI:892970]",17153,1.092964668,1.47E-10,139.5785368,65.62234423
ENSMUSG00000027639,Samhd1,2,"SAM domain and HD domain, 1 [Source:MGI Symbol;Acc:MGI:1927468]",56045,1.092926563,1.52E-07,70.93124975,32.3725896
ENSMUSG00000024640,Psat1,19,phosphoserine aminotransferase 1 [Source:MGI Symbol;Acc:MGI:2183441],107272,1.092028289,2.86E-06,8.213620733,3.843868426
ENSMUSG00000084915,C230037L18Rik,15,RIKEN cDNA C230037L18 gene [Source:MGI Symbol;Acc:MGI:3697701],,1.090721084,0.044416287,1.017906011,0.364211974
ENSMUSG00000002020,Ltbp2,12,latent transforming growth factor beta binding protein 2 [Source:MGI Symbol;Acc:MGI:99502],16997,1.09010025,0.001598573,1.005371806,0.449681273
ENSMUSG00000008682,Rpl10,X,ribosomal protein L10 [Source:MGI Symbol;Acc:MGI:105943],110954,1.089046581,1.64E-12,144.2070163,69.71262714
ENSMUSG00000042745,Id1,2,"inhibitor of DNA binding 1, HLH protein [Source:MGI Symbol;Acc:MGI:96396]",15901,1.087433632,5.59E-16,148.4370031,71.74239007
ENSMUSG00000018906,P4ha2,11,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide [Source:MGI Symbol;Acc:MGI:894286]",18452,1.086682606,6.34E-07,10.3302244,4.871200288
ENSMUSG00000057789,Bak1,17,BCL2-antagonist/killer 1 [Source:MGI Symbol;Acc:MGI:1097161],12018,1.085265252,2.51E-08,9.30315605,4.467061569
ENSMUSG00000089762,Ier5l,2,immediate early response 5-like [Source:MGI Symbol;Acc:MGI:1919750],72500,1.084779335,3.93E-09,20.58514617,9.803900199
ENSMUSG00000003545,Fosb,7,FBJ osteosarcoma oncogene B [Source:MGI Symbol;Acc:MGI:95575],14282,1.084049247,9.89E-04,4.105271717,1.868379589
ENSMUSG00000028037,Ifi44,3,interferon-induced protein 44 [Source:MGI Symbol;Acc:MGI:2443016],99899,1.083876303,1.30E-10,18.03266378,8.753783659
ENSMUSG00000039616,Mocos,18,molybdenum cofactor sulfurase [Source:MGI Symbol;Acc:MGI:1915841],68591,1.077917784,1.56E-06,8.56018709,4.070477318
ENSMUSG00000020057,Dram1,10,DNA-damage regulated autophagy modulator 1 [Source:MGI Symbol;Acc:MGI:1918962],71712,1.075298101,3.48E-04,4.954291388,2.303542075
ENSMUSG00000022074,Tnfrsf10b,14,"tumor necrosis factor receptor superfamily, member 10b [Source:MGI Symbol;Acc:MGI:1341090]",21933,1.074864902,5.26E-06,5.68802633,2.717944753
ENSMUSG00000030095,Tmem43,6,transmembrane protein 43 [Source:MGI Symbol;Acc:MGI:1921372],74122,1.07437575,1.69E-09,35.97874227,17.36499864
ENSMUSG00000021493,Pdlim7,13,PDZ and LIM domain 7 [Source:MGI Symbol;Acc:MGI:1914649],67399,1.074131213,1.33E-07,20.33608341,9.711392918
ENSMUSG00000022246,Rai14,15,retinoic acid induced 14 [Source:MGI Symbol;Acc:MGI:1922896],75646,1.070965035,1.20E-15,86.46541932,42.51247564
ENSMUSG00000040033,Stat2,10,signal transducer and activator of transcription 2 [Source:MGI Symbol;Acc:MGI:103039],20847,1.070267348,5.21E-11,28.7698708,13.71519963
ENSMUSG00000020372,Rack1,11,receptor for activated C kinase 1 [Source:MGI Symbol;Acc:MGI:101849],14694,1.068615023,1.49E-14,36.34539314,17.76112832
ENSMUSG00000022769,Sdf2l1,16,stromal cell-derived factor 2-like 1 [Source:MGI Symbol;Acc:MGI:2149842],64136,1.06662545,0.003104976,11.89404355,5.035121808
ENSMUSG00000070327,Rnf213,11,ring finger protein 213 [Source:MGI Symbol;Acc:MGI:1289196],672511,1.064541999,1.58E-13,46.25673612,22.65796734
ENSMUSG00000046410,Kcnk6,7,"potassium inwardly-rectifying channel, subfamily K, member 6 [Source:MGI Symbol;Acc:MGI:1891291]",52150,1.064377885,1.96E-04,2.603471248,1.226964573
ENSMUSG00000055044,Pdlim1,19,PDZ and LIM domain 1 (elfin) [Source:MGI Symbol;Acc:MGI:1860611],54132,1.0632696,0.009116053,3.081476608,1.366369312
ENSMUSG00000030595,Nfkbib,7,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, beta [Source:MGI Symbol;Acc:MGI:104752]",18036,1.063169072,4.19E-06,13.04605919,6.308820953
ENSMUSG00000057367,Birc2,9,baculoviral IAP repeat-containing 2 [Source:MGI Symbol;Acc:MGI:1197009],11797,1.060897202,2.34E-09,35.08160848,17.09959535
ENSMUSG00000057596,Trim30d,7,tripartite motif-containing 30D [Source:MGI Symbol;Acc:MGI:3035181],209387,1.060359261,4.62E-05,5.944516342,2.859869716
ENSMUSG00000007659,Bcl2l1,2,BCL2-like 1 [Source:MGI Symbol;Acc:MGI:88139],12048,1.06005601,2.65E-09,88.54394003,42.28029928
ENSMUSG00000048677,Tpcn2,7,two pore segment channel 2 [Source:MGI Symbol;Acc:MGI:2385297],233979,1.056928281,0.001440517,2.462486727,1.136788323
ENSMUSG00000022148,Fyb,15,FYN binding protein [Source:MGI Symbol;Acc:MGI:1346327],23880,1.055476705,0.006150307,4.976256273,2.067297471
ENSMUSG00000041794,Myrip,9,myosin VIIA and Rab interacting protein [Source:MGI Symbol;Acc:MGI:2384407],245049,1.054401801,2.41E-08,41.98647951,20.15441233
ENSMUSG00000031278,Acsl4,X,acyl-CoA synthetase long-chain family member 4 [Source:MGI Symbol;Acc:MGI:1354713],50790,1.054173839,2.38E-16,23.32699282,11.60603548
ENSMUSG00000038781,Stap2,17,signal transducing adaptor family member 2 [Source:MGI Symbol;Acc:MGI:2147039],106766,1.053231278,3.79E-06,17.19113697,8.181774037
ENSMUSG00000026365,Cfh,1,complement component factor h [Source:MGI Symbol;Acc:MGI:88385],12628,1.051546269,2.72E-13,420.5388738,208.0156458
ENSMUSG00000063856,Gpx1,9,glutathione peroxidase 1 [Source:MGI Symbol;Acc:MGI:104887],14775,1.049968285,9.41E-12,126.1049346,62.74891265
ENSMUSG00000116811,Gm16385,16,predicted gene 16385 [Source:MGI Symbol;Acc:MGI:3780125],,1.049903418,0.030369535,2.190151013,0.904571113
ENSMUSG00000047821,Trim16,11,tripartite motif-containing 16 [Source:MGI Symbol;Acc:MGI:2137356],94092,1.04983701,8.97E-14,32.59781461,16.22551779
ENSMUSG00000071001,Hrct1,4,histidine rich carboxyl terminus 1 [Source:MGI Symbol;Acc:MGI:1917945],100039781,1.049418656,7.31E-06,17.46299858,8.462087999
ENSMUSG00000010358,Ifi35,11,interferon-induced protein 35 [Source:MGI Symbol;Acc:MGI:1917360],70110,1.048608414,9.83E-08,34.77553256,16.9907685
ENSMUSG00000018899,Irf1,11,interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590],16362,1.046919421,1.59E-06,75.05857782,35.62007498
ENSMUSG00000069874,Irgm2,11,immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262],54396,1.045172522,8.00E-07,71.3304506,33.7265721
ENSMUSG00000049401,Ogfr,2,opioid growth factor receptor [Source:MGI Symbol;Acc:MGI:1919325],72075,1.044081641,4.38E-11,24.18759044,12.04259655
ENSMUSG00000071078,Nr2c2ap,8,nuclear receptor 2C2-associated protein [Source:MGI Symbol;Acc:MGI:1922942],75692,1.043733351,0.00169935,4.431591941,2.07827603
ENSMUSG00000027955,Gask1b,3,golgi associated kinase 1B [Source:MGI Symbol;Acc:MGI:1915909],68659,1.043631016,1.91E-06,5.612355978,2.68422209
ENSMUSG00000056498,Tmem154,3,transmembrane protein 154 [Source:MGI Symbol;Acc:MGI:2444725],320782,1.042772374,7.32E-05,6.145012425,2.859176572
ENSMUSG00000028367,Txn1,4,thioredoxin 1 [Source:MGI Symbol;Acc:MGI:98874],22166,1.040278787,6.96E-08,35.55825914,17.611894
ENSMUSG00000023367,Tmem176a,6,transmembrane protein 176A [Source:MGI Symbol;Acc:MGI:1913308],66058,1.038636238,5.67E-07,24.53241931,11.98492083
ENSMUSG00000027613,Eif6,2,eukaryotic translation initiation factor 6 [Source:MGI Symbol;Acc:MGI:1196288],16418,1.038276772,3.66E-08,27.41613862,13.57149051
ENSMUSG00000046865,Fbl,7,fibrillarin [Source:MGI Symbol;Acc:MGI:95486],14113,1.036514586,8.52E-05,6.642081198,3.234062177
ENSMUSG00000061119,Prcp,7,prolylcarboxypeptidase (angiotensinase C) [Source:MGI Symbol;Acc:MGI:1919711],72461,1.036389037,8.29E-07,24.81395733,12.31084553
ENSMUSG00000046688,Tifa,3,TRAF-interacting protein with forkhead-associated domain [Source:MGI Symbol;Acc:MGI:2182965],211550,1.035633807,2.86E-05,8.778722771,4.073230242
ENSMUSG00000024165,Jpt2,17,Jupiter microtubule associated homolog 2 [Source:MGI Symbol;Acc:MGI:1196260],52009,1.034885303,4.17E-06,14.17032117,6.982402148
ENSMUSG00000032575,Manf,9,mesencephalic astrocyte-derived neurotrophic factor [Source:MGI Symbol;Acc:MGI:1922090],74840,1.032575993,6.97E-09,45.40262043,22.72761743
ENSMUSG00000060802,B2m,2,beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127],12010,1.031198734,2.30E-10,1088.549036,553.5839376
ENSMUSG00000028978,Nos3,5,"nitric oxide synthase 3, endothelial cell [Source:MGI Symbol;Acc:MGI:97362]",18127,1.030435467,6.27E-16,140.1191251,70.91855667
ENSMUSG00000039903,Eva1c,16,eva-1 homolog C (C. elegans) [Source:MGI Symbol;Acc:MGI:1918217],70967,1.030166691,3.19E-06,9.097691174,4.34690213
ENSMUSG00000024312,Wdr46,17,WD repeat domain 46 [Source:MGI Symbol;Acc:MGI:1931871],57315,1.028144311,5.47E-08,13.75448877,6.906906731
ENSMUSG00000025007,Aldh18a1,19,"aldehyde dehydrogenase 18 family, member A1 [Source:MGI Symbol;Acc:MGI:1888908]",56454,1.02780739,7.94E-07,8.087771749,4.0013967
ENSMUSG00000034422,Parp14,16,"poly (ADP-ribose) polymerase family, member 14 [Source:MGI Symbol;Acc:MGI:1919489]",547253,1.021418327,4.01E-08,50.21405939,24.76488815
ENSMUSG00000024145,Pigf,17,"phosphatidylinositol glycan anchor biosynthesis, class F [Source:MGI Symbol;Acc:MGI:99462]",18701,1.020125292,0.007692548,5.791002734,2.759752446
ENSMUSG00000026547,Tagln2,1,transgelin 2 [Source:MGI Symbol;Acc:MGI:1312985],21346,1.017956262,8.17E-09,142.4671029,71.04690169
ENSMUSG00000026003,Acadl,1,"acyl-Coenzyme A dehydrogenase, long-chain [Source:MGI Symbol;Acc:MGI:87866]",11363,1.017821478,3.19E-11,163.0516392,82.0914633
ENSMUSG00000013701,Timm23,14,translocase of inner mitochondrial membrane 23 [Source:MGI Symbol;Acc:MGI:1858317],53600,1.015906279,0.022260265,2.625667086,1.164395312
ENSMUSG00000020869,Lrrc59,11,leucine rich repeat containing 59 [Source:MGI Symbol;Acc:MGI:2138133],98238,1.015506507,1.51E-12,53.51158459,27.2810824
ENSMUSG00000092274,Neat1,19,nuclear paraspeckle assembly transcript 1 (non-protein coding) [Source:MGI Symbol;Acc:MGI:1914211],66961,1.014003904,5.22E-05,1.858591419,0.9020976
ENSMUSG00000059013,Sh2d3c,2,SH2 domain containing 3C [Source:MGI Symbol;Acc:MGI:1351631],27387,1.013716323,1.49E-07,39.23751068,19.59907972
ENSMUSG00000026004,Kansl1l,1,KAT8 regulatory NSL complex subunit 1-like [Source:MGI Symbol;Acc:MGI:1915941],68691,1.013695955,1.21E-09,18.95879171,9.627832173
ENSMUSG00000030407,Qpctl,7,glutaminyl-peptide cyclotransferase-like [Source:MGI Symbol;Acc:MGI:1914619],67369,1.013491878,2.21E-08,11.76158764,5.919222043
ENSMUSG00000072949,Acot1,12,acyl-CoA thioesterase 1 [Source:MGI Symbol;Acc:MGI:1349396],26897,1.010303443,0.030549809,1.714163813,0.742982404
ENSMUSG00000022575,Gsdmd,15,gasdermin D [Source:MGI Symbol;Acc:MGI:1916396],69146,1.010127064,2.46E-06,18.04707847,9.091757759
ENSMUSG00000002565,Scin,12,scinderin [Source:MGI Symbol;Acc:MGI:1306794],20259,1.008799989,0.047315401,1.303244626,0.540432702
ENSMUSG00000027940,Tpm3,3,"tropomyosin 3, gamma [Source:MGI Symbol;Acc:MGI:1890149]",59069,1.006612436,3.26E-13,104.7852449,53.84950672
ENSMUSG00000079197,Psme2,14,"proteasome (prosome, macropain) activator subunit 2 (PA28 beta) [Source:MGI Symbol;Acc:MGI:1096365]",19188,1.00588103,1.40E-10,76.97014735,39.47304329
ENSMUSG00000040463,Mybbp1a,11,MYB binding protein (P160) 1a [Source:MGI Symbol;Acc:MGI:106181],18432,1.005494237,2.23E-14,43.32364553,22.26373151
ENSMUSG00000024727,Trpm6,19,"transient receptor potential cation channel, subfamily M, member 6 [Source:MGI Symbol;Acc:MGI:2675603]",225997,1.00479359,2.51E-08,10.62931429,5.367250585
ENSMUSG00000052056,Zfp217,2,zinc finger protein 217 [Source:MGI Symbol;Acc:MGI:2685408],228913,1.003655419,2.73E-06,8.083411908,4.018004037
ENSMUSG00000002910,Arrdc2,8,arrestin domain containing 2 [Source:MGI Symbol;Acc:MGI:1918057],70807,1.003352812,8.29E-04,6.920000349,3.261052321
ENSMUSG00000029135,Fosl2,5,fos-like antigen 2 [Source:MGI Symbol;Acc:MGI:102858],14284,1.002241547,3.51E-09,20.16078588,10.21679374
ENSMUSG00000045180,Shroom2,X,shroom family member 2 [Source:MGI Symbol;Acc:MGI:107194],110380,1.001712226,8.64E-10,27.38244958,13.8078659
ENSMUSG00000010755,Cars,7,cysteinyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1351477],27267,1.00148926,3.30E-07,17.73543941,9.041727659
ENSMUSG00000041046,Ramp3,11,receptor (calcitonin) activity modifying protein 3 [Source:MGI Symbol;Acc:MGI:1860292],56089,0.999992468,0.0055403,5.565897982,2.584738338
ENSMUSG00000003348,Mob3a,10,MOB kinase activator 3A [Source:MGI Symbol;Acc:MGI:3050117],208228,0.999989257,1.65E-06,10.3221346,5.220837369
ENSMUSG00000097558,Gm26902,19,"predicted gene, 26902 [Source:MGI Symbol;Acc:MGI:5477396]",,0.998272185,0.01852942,1.355382542,0.623010111
ENSMUSG00000078994,Zfp429,13,zinc finger protein 429 [Source:MGI Symbol;Acc:MGI:1920057],72807,0.997377112,0.028031961,1.449328703,0.652446312
ENSMUSG00000038235,F11r,1,F11 receptor [Source:MGI Symbol;Acc:MGI:1321398],16456,0.99729099,1.09E-09,49.76095798,25.59065666
ENSMUSG00000030403,Vasp,7,vasodilator-stimulated phosphoprotein [Source:MGI Symbol;Acc:MGI:109268],22323,0.996506341,7.56E-11,44.61058978,22.98797463
ENSMUSG00000055612,Cdca7,2,cell division cycle associated 7 [Source:MGI Symbol;Acc:MGI:1914203],66953,0.994253244,2.50E-04,4.554246011,2.29718151
