Human.Gene,Uniprot ID,Protein Name,Protein Description,Bulk_avg_abundance,Vessel_avg_abundance,Differentially expressed?,logFC (Vessel vs. Bulk),P.Value (Vessel vs. Bulk),adj.P.Value (Vessel vs. Bulk)
EIF2B3,Q9NR50,EI2BG_HUMAN,Translation initiation factor eIF2B subunit gamma,584361.8553,1068375.444,Not differentially expressed,0.977,0.067938852,0.85
ABHD10,Q9NUJ1,ABHDA_HUMAN,"Palmitoyl-protein thioesterase ABHD10, mitochondrial",3265737.377,5897269.465,Not differentially expressed,0.977,0.102123554,0.865
AQP1,P29972,AQP1_HUMAN,Aquaporin-1,2450412.186,5004281.647,Not differentially expressed,0.976,0.136792002,0.875
THSD7A,Q9UPZ6,THS7A_HUMAN,Thrombospondin type-1 domain-containing protein 7A,1679239.198,4464639.008,Not differentially expressed,0.976,0.167532232,0.881
SNRNP70,P08621,RU17_HUMAN,U1 small nuclear ribonucleoprotein 70 kDa,22157446.68,49629934.63,Not differentially expressed,0.975,0.061228223,0.847
PTGS1,P23219,PGH1_HUMAN,Prostaglandin G/H synthase 1,932334.3838,1891115.522,Not differentially expressed,0.973,0.065440283,0.85
ABCC4,O15439,MRP4_HUMAN,ATP-binding cassette sub-family C member 4,470092.0128,949106.7212,Vessel enriched,0.971,0.04720663,0.835
UGGT2,Q9NYU1,UGGG2_HUMAN,UDP-glucose:glycoprotein glucosyltransferase 2,286010.2285,621689.3664,Not differentially expressed,0.971,0.148452479,0.875
EMC10,Q5UCC4,EMC10_HUMAN,ER membrane protein complex subunit 10,811193.8436,1578373.306,Vessel enriched,0.97,0.032561544,0.819
RGS19,P49795,RGS19_HUMAN,Regulator of G-protein signaling 19,606749.8412,1223471.623,Not differentially expressed,0.968,0.076086504,0.853
TRIM26,Q12899,TRI26_HUMAN,Tripartite motif-containing protein 26,662434.1735,1374895.945,Not differentially expressed,0.968,0.127017226,0.87
AFF4,Q9UHB7,AFF4_HUMAN,AF4/FMR2 family member 4,161911.9653,306311.2274,Not differentially expressed,0.967,0.129649721,0.871
TOR1B,O14657,TOR1B_HUMAN,Torsin-1B,300807.6076,624473.1306,Not differentially expressed,0.963,0.058309668,0.844
CYBB,P04839,CY24B_HUMAN,Cytochrome b-245 heavy chain,1781247.23,4417365.499,Not differentially expressed,0.963,0.122512236,0.871
SLC11A2,P49281,NRAM2_HUMAN,Natural resistance-associated macrophage protein 2,474930.471,902558.7038,Not differentially expressed,0.963,0.178805905,0.881
PPM1L,Q5SGD2,PPM1L_HUMAN,Protein phosphatase 1L,987429.5329,1903264.723,Vessel enriched,0.961,0.03902746,0.827
PTDSS2,Q9BVG9,PTSS2_HUMAN,Phosphatidylserine synthase 2,1680986.694,3265498.066,Not differentially expressed,0.961,0.065996637,0.85
PSD2,Q9BQI7,PSD2_HUMAN,PH and SEC7 domain-containing protein 2,420071.7502,794736.1207,Not differentially expressed,0.961,0.170085558,0.88
STX10,O60499,STX10_HUMAN,Syntaxin-10,460132.5061,1036061.658,Not differentially expressed,0.961,0.313749261,0.898
MAP7D2,Q96T17,MA7D2_HUMAN,MAP7 domain-containing protein 2,3901623.351,8405056.48,Not differentially expressed,0.96,0.119231274,0.869
PNPLA7,Q6ZV29,PLPL7_HUMAN,Patatin-like phospholipase domain-containing protein 7,438302.6433,772148.3046,Not differentially expressed,0.96,0.21160627,0.887
FLOT1,O75955,FLOT1_HUMAN,Flotillin-1,9573796.828,20234460.34,Not differentially expressed,0.958,0.12682862,0.872
NDUFB7,P17568,NDUB7_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,4859329.969,7001730.843,Not differentially expressed,0.957,0.110755015,0.868
GYS1,P13807,GYS1_HUMAN,"Glycogen [starch] synthase, muscle",1201158.769,2301006.846,Not differentially expressed,0.957,0.127789909,0.873
TGOLN2,O43493,TGON2_HUMAN,Trans-Golgi network integral membrane protein 2,1583215.865,4274716.457,Not differentially expressed,0.956,0.235070478,0.891
TRPC4,Q9UBN4,TRPC4_HUMAN,Short transient receptor potential channel 4,301638.6298,793883.6242,Not differentially expressed,0.955,0.243042929,0.891
RPL30,P62888,RL30_HUMAN,Large ribosomal subunit protein eL30,7315704.941,14877734.29,Vessel enriched,0.954,0.038013088,0.828
SPRY4,Q9C004,SPY4_HUMAN,Protein sprouty homolog 4,489422.4565,773325.1055,Not differentially expressed,0.954,0.268458414,0.893
ACTG1,P63261,ACTG_HUMAN,"Actin, cytoplasmic 2",175325135.5,344533166.8,Vessel enriched,0.953,0.02150622,0.801
GNAS,Q5JWF2,GNAS1_HUMAN,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,15739811.01,33250823.95,Not differentially expressed,0.952,0.054632213,0.843
BOP1,Q14137,BOP1_HUMAN,Ribosome biogenesis protein BOP1,356838.0584,708150.8829,Not differentially expressed,0.951,0.107702674,0.865
MTRES1,Q9P0P8,MRES1_HUMAN,Mitochondrial transcription rescue factor 1,743404.4214,1499578.633,Not differentially expressed,0.949,0.055904065,0.842
MIA2,Q96PC5,MIA2_HUMAN,Melanoma inhibitory activity protein 2,368582.5027,680783.9079,Not differentially expressed,0.949,0.056589833,0.843
PRPF40A,O75400,PR40A_HUMAN,Pre-mRNA-processing factor 40 homolog A,686944.7722,1834378.66,Not differentially expressed,0.949,0.127959513,0.873
CAD,P27708,PYR1_HUMAN,Multifunctional protein CAD,318085.2845,632878.8157,Not differentially expressed,0.948,0.073586299,0.853
PHAX,Q9H814,PHAX_HUMAN,Phosphorylated adapter RNA export protein,595692.6898,1691978.15,Not differentially expressed,0.948,0.200929417,0.885
SUPT4H1,P63272,SPT4H_HUMAN,Transcription elongation factor SPT4,401157.8201,801614.857,Not differentially expressed,0.944,0.114411355,0.867
PSMD12,O00232,PSD12_HUMAN,26S proteasome non-ATPase regulatory subunit 12,1125455.256,1951052.99,Not differentially expressed,0.943,0.119252024,0.87
GTPBP3,Q969Y2,GTPB3_HUMAN,"tRNA modification GTPase GTPBP3, mitochondrial",348758.8615,437127.5594,Not differentially expressed,0.942,0.454002625,0.908
MSN,P26038,MOES_HUMAN,Moesin,29521251.53,66202372.47,Not differentially expressed,0.941,0.082700126,0.858
PES1,O00541,PESC_HUMAN,Pescadillo homolog,419334.8267,909795.9863,Not differentially expressed,0.941,0.123697703,0.871
CLPTM1L,Q96KA5,CLP1L_HUMAN,Lipid scramblase CLPTM1L,729605.0669,1326027.359,Not differentially expressed,0.941,0.170473309,0.881
PHC2,Q8IXK0,PHC2_HUMAN,Polyhomeotic-like protein 2,468767.4271,1044356.271,Not differentially expressed,0.94,0.13381657,0.873
NFKBIA,P25963,IKBA_HUMAN,NF-kappa-B inhibitor alpha,227053.4986,426123.9318,Not differentially expressed,0.937,0.190108116,0.883
VAMP7,P51809,VAMP7_HUMAN,Vesicle-associated membrane protein 7,550724.2525,1143994.65,Not differentially expressed,0.936,0.069596491,0.852
RNF121,Q9H920,RN121_HUMAN,E3 ubiquitin ligase RNF121,241898.0006,473720.1854,Not differentially expressed,0.935,0.150042805,0.876
FHIP1B,Q8N612,FHI1B_HUMAN,FHF complex subunit HOOK-interacting protein 1B,160859.9161,327343.0531,Not differentially expressed,0.935,0.179022835,0.881
RP2,O75695,XRP2_HUMAN,Protein XRP2,2405019.987,4845347.559,Not differentially expressed,0.934,0.059583691,0.846
ARPC4,P59998,ARPC4_HUMAN,Actin-related protein 2/3 complex subunit 4,2910167.751,5507397.46,Not differentially expressed,0.933,0.082314747,0.858
TFIP11,Q9UBB9,TFP11_HUMAN,Tuftelin-interacting protein 11,312069.2574,730601.8426,Not differentially expressed,0.933,0.145414536,0.876
CISD2,Q8N5K1,CISD2_HUMAN,CDGSH iron-sulfur domain-containing protein 2,4131737.166,8657509.51,Vessel enriched,0.93,0.048218482,0.838
PABPN1,Q86U42,PABP2_HUMAN,Polyadenylate-binding protein 2,3625724.612,6829590.67,Vessel enriched,0.929,0.021714624,0.802
ECHDC2,Q86YB7,ECHD2_HUMAN,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",1105207.934,2420438.606,Not differentially expressed,0.929,0.184656182,0.883
PCID2,Q5JVF3,PCID2_HUMAN,PCI domain-containing protein 2,223393.6324,440596.7001,Not differentially expressed,0.929,0.234411381,0.889
FAHD1,Q6P587,FAHD1_HUMAN,"Acylpyruvase FAHD1, mitochondrial",3571221.507,5852476.191,Not differentially expressed,0.928,0.126538451,0.872
CTSC,P53634,CATC_HUMAN,Dipeptidyl peptidase 1,917300.661,1920371.459,Not differentially expressed,0.927,0.144951466,0.876
PIGS,Q96S52,PIGS_HUMAN,GPI transamidase component PIG-S,2030580.325,3975279.589,Not differentially expressed,0.926,0.070086846,0.852
LNPEP,Q9UIQ6,LCAP_HUMAN,Leucyl-cystinyl aminopeptidase,1588534.514,3614503.189,Not differentially expressed,0.926,0.122663973,0.871
DDX18,Q9NVP1,DDX18_HUMAN,ATP-dependent RNA helicase DDX18,653044.8445,1344208.665,Not differentially expressed,0.923,0.062839042,0.848
CSTF1,Q05048,CSTF1_HUMAN,Cleavage stimulation factor subunit 1,865380.4718,1746619.329,Not differentially expressed,0.923,0.100554578,0.865
M6PR,P20645,MPRD_HUMAN,Cation-dependent mannose-6-phosphate receptor,3131201.288,6960614.305,Not differentially expressed,0.922,0.086777429,0.86
C1GALT1,Q9NS00,C1GLT_HUMAN,Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1,388838.2907,766843.5909,Not differentially expressed,0.922,0.129189251,0.871
RBMS1,P29558,RBMS1_HUMAN,"RNA-binding motif, single-stranded-interacting protein 1",214590.3323,390700.282,Not differentially expressed,0.921,0.147338033,0.875
PPP4R3A,Q6IN85,P4R3A_HUMAN,Serine/threonine-protein phosphatase 4 regulatory subunit 3A,491674.6972,917611.1891,Not differentially expressed,0.918,0.060871337,0.846
SYMPK,Q92797,SYMPK_HUMAN,Symplekin,566640.4613,1264043.318,Not differentially expressed,0.915,0.088658137,0.86
TOMM22,Q9NS69,TOM22_HUMAN,Mitochondrial import receptor subunit TOM22 homolog,935692.4555,956594.3405,Not differentially expressed,0.915,0.505298096,0.911
LMNB1,P20700,LMNB1_HUMAN,Lamin-B1,2011808.137,4471140.366,Not differentially expressed,0.913,0.096027049,0.863
VPS36,Q86VN1,VPS36_HUMAN,Vacuolar protein-sorting-associated protein 36,701797.1722,1171852.789,Not differentially expressed,0.913,0.111512492,0.867
NOL9,Q5SY16,NOL9_HUMAN,Polynucleotide 5'-hydroxyl-kinase NOL9,453087.6191,914612.8417,Not differentially expressed,0.911,0.269283454,0.893
ZFR,Q96KR1,ZFR_HUMAN,Zinc finger RNA-binding protein,2706190.884,5117388.855,Vessel enriched,0.91,0.03129919,0.819
INTS13,Q9NVM9,INT13_HUMAN,Integrator complex subunit 13,285234.9931,582885.4397,Not differentially expressed,0.91,0.057752985,0.845
SLCO3A1,Q9UIG8,SO3A1_HUMAN,Solute carrier organic anion transporter family member 3A1,564692.4917,1122875.592,Not differentially expressed,0.91,0.065571259,0.848
PPIC,P45877,PPIC_HUMAN,Peptidyl-prolyl cis-trans isomerase C,257769.2242,502642.6696,Not differentially expressed,0.909,0.247545306,0.891
ASAH1,Q13510,ASAH1_HUMAN,Acid ceramidase,19844272.91,39222664.86,Vessel enriched,0.908,0.046656402,0.836
EMC8,O43402,EMC8_HUMAN,ER membrane protein complex subunit 8,1117298.503,2161119.634,Not differentially expressed,0.907,0.090450543,0.861
SCAF4,O95104,SCAF4_HUMAN,SR-related and CTD-associated factor 4,905652.66,1846523.893,Not differentially expressed,0.907,0.132414861,0.872
ZBTB7A,O95365,ZBT7A_HUMAN,Zinc finger and BTB domain-containing protein 7A,399810.172,749449.8273,Not differentially expressed,0.907,0.214075216,0.886
EPHX4,Q8IUS5,EPHX4_HUMAN,Epoxide hydrolase 4,487421.7923,1185788.608,Not differentially expressed,0.906,0.238025158,0.89
TSPAN31,Q12999,TSN31_HUMAN,Tetraspanin-31,496981.1277,1123867.512,Not differentially expressed,0.905,0.12625309,0.872
TBXAS1,P24557,THAS_HUMAN,Thromboxane-A synthase,310463.761,631123.541,Not differentially expressed,0.904,0.103668879,0.866
MDK,P21741,MK_HUMAN,Midkine,131837.5123,241983.7966,Not differentially expressed,0.904,0.17794231,0.881
RAD50,Q92878,RAD50_HUMAN,DNA repair protein RAD50,422961.7532,1009538.816,Not differentially expressed,0.904,0.250276541,0.892
ACAT1,P24752,THIL_HUMAN,"Acetyl-CoA acetyltransferase, mitochondrial",25549678.79,52509895.17,Not differentially expressed,0.903,0.065923949,0.85
ATP1A2,P50993,AT1A2_HUMAN,Sodium/potassium-transporting ATPase subunit alpha-2,346001853.8,658687389,Not differentially expressed,0.902,0.075129981,0.855
SF3B4,Q15427,SF3B4_HUMAN,Splicing factor 3B subunit 4,1477133.029,3058305.532,Not differentially expressed,0.901,0.065634338,0.85
MACO1,Q8N5G2,MACOI_HUMAN,Macoilin,370491.7453,549749.3606,Not differentially expressed,0.901,0.261438837,0.893
PARP2,Q9UGN5,PARP2_HUMAN,Poly [ADP-ribose] polymerase 2,286594.9608,553041.991,Not differentially expressed,0.899,0.090588723,0.859
SLC17A5,Q9NRA2,S17A5_HUMAN,Sialin,443938.9371,1019182.135,Not differentially expressed,0.897,0.131560395,0.873
LTBP3,Q9NS15,LTBP3_HUMAN,Latent-transforming growth factor beta-binding protein 3,244966.255,474558.8554,Not differentially expressed,0.897,0.151759857,0.876
CD109,Q6YHK3,CD109_HUMAN,CD109 antigen,903252.5196,2047305.347,Not differentially expressed,0.896,0.165915647,0.881
KPRP,Q5T749,KPRP_HUMAN,Keratinocyte proline-rich protein,2956889.727,3975384.82,Not differentially expressed,0.896,0.250857719,0.892
YIF1B,Q5BJH7,YIF1B_HUMAN,Protein YIF1B,841853.6128,1724778.738,Not differentially expressed,0.895,0.112937778,0.868
RPL27,P61353,RL27_HUMAN,Large ribosomal subunit protein eL27,7997080.709,14220267.68,Not differentially expressed,0.895,0.173776393,0.882
CAND2,O75155,CAND2_HUMAN,Cullin-associated NEDD8-dissociated protein 2,360355.2179,558582.8588,Not differentially expressed,0.895,0.239516673,0.89
S100A16,Q96FQ6,S10AG_HUMAN,Protein S100-A16,394722.6525,1172692.788,Not differentially expressed,0.895,0.275847596,0.895
RPL27A,P46776,RL27A_HUMAN,Large ribosomal subunit protein uL15,4179523.479,8231638.757,Not differentially expressed,0.894,0.112206334,0.868
KDR,P35968,VGFR2_HUMAN,Vascular endothelial growth factor receptor 2,245250.8954,468827.6604,Not differentially expressed,0.894,0.245302348,0.891
HMG20A,Q9NP66,HM20A_HUMAN,High mobility group protein 20A,756760.3297,1628541.73,Not differentially expressed,0.893,0.124130617,0.872
GRM7,Q14831,GRM7_HUMAN,Metabotropic glutamate receptor 7,901542.2182,1630944.828,Not differentially expressed,0.892,0.219739485,0.888
PDS5A,Q29RF7,PDS5A_HUMAN,Sister chromatid cohesion protein PDS5 homolog A,653729.5271,1222849.623,Not differentially expressed,0.891,0.064533621,0.848
RETREG3,Q86VR2,RETR3_HUMAN,Reticulophagy regulator 3,1523442.148,3054498.96,Not differentially expressed,0.889,0.186569893,0.884
POGZ,Q7Z3K3,POGZ_HUMAN,Pogo transposable element with ZNF domain,437194.6439,929057.5131,Not differentially expressed,0.887,0.137746928,0.874
SERPINB12,Q96P63,SPB12_HUMAN,Serpin B12,2512917.104,7464326.078,Not differentially expressed,0.885,0.290904794,0.896
EPHB4,P54760,EPHB4_HUMAN,Ephrin type-B receptor 4,992950.0146,2238765.24,Not differentially expressed,0.885,0.361792749,0.902
LONP2,Q86WA8,LONP2_HUMAN,"Lon protease homolog 2, peroxisomal",265214.0922,492596.4782,Not differentially expressed,0.884,0.12326497,0.869
MIOS,Q9NXC5,MIOS_HUMAN,GATOR2 complex protein MIOS,742375.6377,1335138.31,Not differentially expressed,0.883,0.065395425,0.848
FAM89B,Q8N5H3,LRA25_HUMAN,Leucine repeat adapter protein 25,167817.2942,314530.0064,Not differentially expressed,0.883,0.184198343,0.882
TMEM259,Q4ZIN3,MBRL_HUMAN,Membralin,348396.2111,678687.5299,Not differentially expressed,0.882,0.132716974,0.873
NTN4,Q9HB63,NET4_HUMAN,Netrin-4,6470985.596,12399610.61,Not differentially expressed,0.882,0.260949563,0.892
SLC38A7,Q9NVC3,S38A7_HUMAN,Sodium-coupled neutral amino acid transporter 7,243478.8436,416446.3748,Not differentially expressed,0.881,0.212203996,0.886
BTAF1,O14981,BTAF1_HUMAN,TATA-binding protein-associated factor 172,207734.4746,521482.0255,Not differentially expressed,0.881,0.327370791,0.899
PIGO,Q8TEQ8,PIGO_HUMAN,GPI ethanolamine phosphate transferase 3,1523325.011,2970232.076,Not differentially expressed,0.88,0.095393281,0.862
IFI16,Q16666,IF16_HUMAN,Gamma-interferon-inducible protein 16,676181.7723,1292211.433,Not differentially expressed,0.88,0.096452956,0.863
SAMHD1,Q9Y3Z3,SAMH1_HUMAN,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,1158741.597,2082581.665,Not differentially expressed,0.88,0.102789754,0.865
CYP27A1,Q02318,CP27A_HUMAN,"Sterol 26-hydroxylase, mitochondrial",1116221.628,2095344.841,Not differentially expressed,0.879,0.089461079,0.86
LIG4,P49917,DNLI4_HUMAN,DNA ligase 4,317181.2266,591382.3601,Not differentially expressed,0.879,0.123944423,0.87
ARHGEF17,Q96PE2,ARHGH_HUMAN,Rho guanine nucleotide exchange factor 17,332294.0945,593217.7867,Not differentially expressed,0.878,0.075748439,0.854
EIF2B5,Q13144,EI2BE_HUMAN,Translation initiation factor eIF2B subunit epsilon,718996.3213,1355041.202,Not differentially expressed,0.878,0.080871998,0.856
TFAM,Q00059,TFAM_HUMAN,"Transcription factor A, mitochondrial",7269827.459,14507132.04,Not differentially expressed,0.878,0.141169755,0.876
LRRC32,Q14392,LRC32_HUMAN,Transforming growth factor beta activator LRRC32,3208268.827,3015584.007,Not differentially expressed,0.878,0.419177429,0.906
CALML5,Q9NZT1,CALL5_HUMAN,Calmodulin-like protein 5,10121970.58,32000854.57,Not differentially expressed,0.878,0.466080697,0.909
UMPS,P11172,UMPS_HUMAN,Uridine 5'-monophosphate synthase,1539774.182,2331673.251,Not differentially expressed,0.873,0.143946928,0.876
GDPD1,Q8N9F7,GDPD1_HUMAN,Lysophospholipase D GDPD1,1050246.583,1726610.697,Not differentially expressed,0.872,0.130432047,0.873
WASHC5,Q12768,WASC5_HUMAN,WASH complex subunit 5,1487171.281,2695839.239,Not differentially expressed,0.872,0.254512354,0.893
SELENOF,O60613,SEP15_HUMAN,Selenoprotein F,670544.842,1297003.298,Not differentially expressed,0.871,0.075965233,0.855
MICU2,Q8IYU8,MICU2_HUMAN,"Calcium uptake protein 2, mitochondrial",277632.4138,576222.993,Not differentially expressed,0.871,0.325732809,0.899
EXOSC10,Q01780,EXOSX_HUMAN,Exosome complex component 10,284661.5321,564176.5324,Not differentially expressed,0.87,0.110650242,0.868
IGHM,P01871,IGHM_HUMAN,Immunoglobulin heavy constant mu,3351154.185,7873831.392,Not differentially expressed,0.87,0.201075569,0.886
CTBP2,P56545,CTBP2_HUMAN,C-terminal-binding protein 2,679816.9473,1209991,Not differentially expressed,0.869,0.06482316,0.848
C1QC,P02747,C1QC_HUMAN,Complement C1q subcomponent subunit C,1282288.111,2884573.731,Not differentially expressed,0.869,0.158713961,0.879
TUBG1,P23258,TBG1_HUMAN,Tubulin gamma-1 chain,2349671.083,5162032.184,Not differentially expressed,0.868,0.156972634,0.879
KAT8,Q9H7Z6,KAT8_HUMAN,Histone acetyltransferase KAT8,275285.6076,573394.9414,Not differentially expressed,0.867,0.332840444,0.899
RPL36AL,Q969Q0,RL36L_HUMAN,Ribosomal protein eL42-like,1513513.88,3053179.217,Not differentially expressed,0.866,0.094333742,0.863
DMAC2,Q9NW81,DMAC2_HUMAN,Distal membrane-arm assembly complex protein 2,338403.3985,633811.0787,Not differentially expressed,0.866,0.192285923,0.883
RAB43,Q86YS6,RAB43_HUMAN,Ras-related protein Rab-43,374741.8963,762611.6631,Not differentially expressed,0.866,0.334071304,0.899
ZMAT4,Q9H898,ZMAT4_HUMAN,Zinc finger matrin-type protein 4,171776.6459,297472.5027,Not differentially expressed,0.865,0.167714841,0.879
VTI1B,Q9UEU0,VTI1B_HUMAN,Vesicle transport through interaction with t-SNAREs homolog 1B,688833.9995,1245852.92,Not differentially expressed,0.864,0.133146426,0.872
PEX5,P50542,PEX5_HUMAN,Peroxisomal targeting signal 1 receptor,190808.607,351831.4218,Not differentially expressed,0.864,0.30114618,0.896
TERF2,Q15554,TERF2_HUMAN,Telomeric repeat-binding factor 2,1123567.154,2090578.87,Not differentially expressed,0.863,0.067869626,0.851
ZC3HAV1,Q7Z2W4,ZCCHV_HUMAN,Zinc finger CCCH-type antiviral protein 1,802211.6976,1513086.523,Not differentially expressed,0.861,0.090745491,0.86
EIF2B2,P49770,EI2BB_HUMAN,Translation initiation factor eIF2B subunit beta,436167.0389,730654.0567,Not differentially expressed,0.861,0.227496519,0.888
RPS11,P62280,RS11_HUMAN,Small ribosomal subunit protein uS17,24581614.62,45266703.38,Not differentially expressed,0.86,0.112632924,0.868
PGM5,Q15124,PGM5_HUMAN,Phosphoglucomutase-like protein 5,741305.9946,1483026.503,Not differentially expressed,0.86,0.115159725,0.869
SERPINB8,P50452,SPB8_HUMAN,Serpin B8,410645.9873,917759.6011,Not differentially expressed,0.86,0.165109101,0.88
PLXNB2,O15031,PLXB2_HUMAN,Plexin-B2,8742887.671,17648136.65,Not differentially expressed,0.858,0.076303205,0.855
NUDT19,A8MXV4,NUD19_HUMAN,Acyl-coenzyme A diphosphatase NUDT19,780358.3941,1481604.102,Not differentially expressed,0.858,0.108661673,0.866
TCF25,Q9BQ70,TCF25_HUMAN,Ribosome quality control complex subunit TCF25,155985.6585,279350.8571,Not differentially expressed,0.858,0.269887272,0.893
RBFOX1,Q9NWB1,RFOX1_HUMAN,RNA binding protein fox-1 homolog 1,719550.9757,2326129.264,Not differentially expressed,0.858,0.285588457,0.896
SORBS1,Q9BX66,SRBS1_HUMAN,Sorbin and SH3 domain-containing protein 1,6344690.354,16388695.96,Not differentially expressed,0.857,0.253625268,0.893
OGT,O15294,OGT1_HUMAN,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,611935.5806,1015404.493,Not differentially expressed,0.856,0.222754848,0.889
ERGIC2,Q96RQ1,ERGI2_HUMAN,Endoplasmic reticulum-Golgi intermediate compartment protein 2,618420.4093,1128403.133,Not differentially expressed,0.855,0.056255133,0.844
LRRC59,Q96AG4,LRC59_HUMAN,Leucine-rich repeat-containing protein 59,4444872.666,9005049.342,Not differentially expressed,0.855,0.098427751,0.864
TMEM41A,Q96HV5,TM41A_HUMAN,Transmembrane protein 41A,977892.5678,1853961.782,Not differentially expressed,0.855,0.327593111,0.898
RNF2,Q99496,RING2_HUMAN,E3 ubiquitin-protein ligase RING2,154467.3416,306431.553,Not differentially expressed,0.854,0.188618141,0.883
UQCRC1,P31930,QCR1_HUMAN,"Cytochrome b-c1 complex subunit 1, mitochondrial",96363298.28,186878701.3,Not differentially expressed,0.853,0.134615889,0.874
PLBD1,Q6P4A8,PLBL1_HUMAN,Phospholipase B-like 1,395738.9682,742899.69,Not differentially expressed,0.852,0.225197271,0.889
DHX15,O43143,DHX15_HUMAN,ATP-dependent RNA helicase DHX15,3182736.538,6463364.643,Not differentially expressed,0.851,0.089337618,0.861
SCAP,Q12770,SCAP_HUMAN,Sterol regulatory element-binding protein cleavage-activating protein,130912.9318,232955.4461,Not differentially expressed,0.85,0.253125931,0.891
SERPINB2,P05120,PAI2_HUMAN,Plasminogen activator inhibitor 2,843147.7434,3326871.944,Not differentially expressed,0.85,0.594771289,0.914
RPS2,P15880,RS2_HUMAN,Small ribosomal subunit protein uS5,33820781.27,63648193.09,Not differentially expressed,0.847,0.101763962,0.865
MCU,Q8NE86,MCU_HUMAN,"Calcium uniporter protein, mitochondrial",2102333.427,4061342.167,Not differentially expressed,0.847,0.191106673,0.885
AK3,Q9UIJ7,KAD3_HUMAN,"GTP:AMP phosphotransferase AK3, mitochondrial",11585586.48,20654594.73,Vessel enriched,0.846,0.044458424,0.834
APPL2,Q8NEU8,DP13B_HUMAN,DCC-interacting protein 13-beta,1481434.026,2378081.733,Not differentially expressed,0.845,0.132009134,0.873
GTF2B,Q00403,TF2B_HUMAN,Transcription initiation factor IIB,287512.5324,522498.3899,Vessel enriched,0.844,0.035684419,0.825
PCYT1B,Q9Y5K3,PCY1B_HUMAN,Choline-phosphate cytidylyltransferase B,512483.6775,1024881.828,Not differentially expressed,0.844,0.108154811,0.866
ADARB1,P78563,RED1_HUMAN,Double-stranded RNA-specific editase 1,849408.2613,1774588.606,Not differentially expressed,0.844,0.111904053,0.868
SLC39A7,Q92504,S39A7_HUMAN,Zinc transporter SLC39A7,1015895.004,2326976.22,Not differentially expressed,0.844,0.19181902,0.885
TTC39B,Q5VTQ0,TT39B_HUMAN,Tetratricopeptide repeat protein 39B,343516.9028,610146.5189,Not differentially expressed,0.844,0.27755909,0.894
PRPF19,Q9UMS4,PRP19_HUMAN,Pre-mRNA-processing factor 19,5680214.261,11416471.69,Not differentially expressed,0.843,0.098665132,0.864
IBA57,Q5T440,CAF17_HUMAN,"Putative transferase CAF17, mitochondrial",4940611.467,9431127.624,Not differentially expressed,0.843,0.142356452,0.876
PON2,Q15165,PON2_HUMAN,Serum paraoxonase/arylesterase 2,14618054.37,26434382.38,Not differentially expressed,0.842,0.080092877,0.857
NFYB,P25208,NFYB_HUMAN,Nuclear transcription factor Y subunit beta,527538.451,967779.5727,Not differentially expressed,0.842,0.115981149,0.869
HTATSF1,O43719,HTSF1_HUMAN,17S U2 SnRNP complex component HTATSF1,1227719.286,2281698.221,Not differentially expressed,0.841,0.081689161,0.857
PIGT,Q969N2,PIGT_HUMAN,GPI transamidase component PIG-T,2197286.173,4203412.665,Not differentially expressed,0.841,0.111274699,0.868
SLC4A2,P04920,B3A2_HUMAN,Anion exchange protein 2,12364029.64,42575689.42,Not differentially expressed,0.841,0.455358621,0.908
NACC1,Q96RE7,NACC1_HUMAN,Nucleus accumbens-associated protein 1,215883.2851,435038.1444,Not differentially expressed,0.84,0.188821833,0.884
DNAJC13,O75165,DJC13_HUMAN,DnaJ homolog subfamily C member 13,534538.4261,1083117.879,Not differentially expressed,0.839,0.154181472,0.877
UBAC2,Q8NBM4,UBAC2_HUMAN,Ubiquitin-associated domain-containing protein 2,286149.2167,539583.2915,Not differentially expressed,0.839,0.340094272,0.9
TSFM,P43897,EFTS_HUMAN,"Elongation factor Ts, mitochondrial",791824.7211,1128160.625,Not differentially expressed,0.839,0.370974387,0.903
ATP6AP2,O75787,RENR_HUMAN,Renin receptor,1017958.585,1781018.599,Not differentially expressed,0.836,0.102624402,0.865
CYSTM1,Q9H1C7,CYTM1_HUMAN,Cysteine-rich and transmembrane domain-containing protein 1,1963506.851,4023734.535,Not differentially expressed,0.834,0.103591307,0.866
SYVN1,Q86TM6,SYVN1_HUMAN,E3 ubiquitin-protein ligase synoviolin,1955330.871,4061393.376,Not differentially expressed,0.834,0.142628331,0.876
DDX47,Q9H0S4,DDX47_HUMAN,Probable ATP-dependent RNA helicase DDX47,368833.7699,846463.4783,Not differentially expressed,0.834,0.31149036,0.898
BLOC1S4,Q9NUP1,BL1S4_HUMAN,Biogenesis of lysosome-related organelles complex 1 subunit 4,254362.107,456961.3796,Not differentially expressed,0.832,0.147251734,0.875
VEZF1,Q14119,VEZF1_HUMAN,Vascular endothelial zinc finger 1,325340.6494,625507.2197,Not differentially expressed,0.83,0.113829319,0.868
